C=C(C(=O)O)_C=C(CO)_C=CCl_carbon_disulfide_25_280,ValueError in C=C(C(=O)O)_C=C(CO)_C=CCl_carbon_disulfide_25_280: Monomer contains more than one double bond.
CC=C_C=C(C(=O)NCC)_C=C(CO)_glycerol_10_280,ValueError in CC=C_C=C(C(=O)NCC)_C=C(CO)_glycerol_10_280: Monomer contains more than one double bond.
C=Cc1ccccc1_C=Cc1cccc(C)c1_C=C(C(=O)NCC)_n-hexane_25_280,ValueError in C=Cc1ccccc1_C=Cc1cccc(C)c1_C=C(C(=O)NCC)_n-hexane_25_280: Monomer contains more than one double bond.
CC=C_C1CCCC1C(=O)O_C=C(Br)_m-xylene_20_298,Unexpected error in CC=C_C1CCCC1C(=O)O_C=C(Br)_m-xylene_20_298: 'NoneType' object has no attribute 'gro_path'
C=C(CN)_C=C(C(=O)O)_C1CCCC1C(=O)O_benzene_30_298,ValueError in C=C(CN)_C=C(C(=O)O)_C1CCCC1C(=O)O_benzene_30_298: Monomer contains more than one double bond.
O=C1CN(CCO)CC1_C=C(CO)_C=CCl_n-butyl_alcohol_5_348,Unexpected error in O=C1CN(CCO)CC1_C=C(CO)_C=CCl_n-butyl_alcohol_5_348: 'NoneType' object has no attribute 'gro_path'
C=C(CN)_C1CCOC1=O_C=C(C(=O)NCC)_aniline_10_298,ValueError in C=C(CN)_C1CCOC1=O_C=C(C(=O)NCC)_aniline_10_298: Monomer contains more than one double bond.
CC=C_C=C(C(=O)OCCO)_C=C(F)_aniline_10_298,ValueError in CC=C_C=C(C(=O)OCCO)_C=C(F)_aniline_10_298: Monomer contains more than one double bond.
C=C(C(=O)OCCO)_C1CCCC1C(=O)O_n-hexane_20_298,ValueError in C=C(C(=O)OCCO)_C1CCCC1C(=O)O_n-hexane_20_298: Monomer contains more than one double bond.
C=C(C(=O)O)_C=C(C(=O)NCC)_C=C(Br)_methanol_10_280,ValueError in C=C(C(=O)O)_C=C(C(=O)NCC)_C=C(Br)_methanol_10_280: Monomer contains more than one double bond.
O=C1CCCCC1_C=C(C=O)_C=C(F)_acetic_acid_20_280,ValueError in O=C1CCCCC1_C=C(C=O)_C=C(F)_acetic_acid_20_280: Monomer contains more than one double bond.
C=C(C(=O)OCC)_C=C(C(=O)O)_O=C1CN(CCO)CC1_benzene_20_298,ValueError in C=C(C(=O)OCC)_C=C(C(=O)O)_O=C1CN(CCO)CC1_benzene_20_298: Monomer contains more than one double bond.
C1CCCC1C(=O)O_C=C(C=O)_C=C(CO)_n-octane_10_298,ValueError in C1CCCC1C(=O)O_C=C(C=O)_C=C(CO)_n-octane_10_298: Monomer contains more than one double bond.
C=Cc1ccccc1_C=C(C(=O)NCC)_C=CCl_dodecane_10_280,ValueError in C=Cc1ccccc1_C=C(C(=O)NCC)_C=CCl_dodecane_10_280: Monomer contains more than one double bond.
O=C1CCCCC1_C1CCOC1=O_C=CCl_n-propyl_alcohol_20_280,Unexpected error in O=C1CCCCC1_C1CCOC1=O_C=CCl_n-propyl_alcohol_20_280: 'NoneType' object has no attribute 'gro_path'
C=C(C(=O)OCC)_C=C(CN)_C1CCOC1=O_water_20_348,ValueError in C=C(C(=O)OCC)_C=C(CN)_C1CCOC1=O_water_20_348: Monomer contains more than one double bond.
C=C(CN)_C=Cc1cccc(C)c1_C=C(C(=O)NCC)_ethanol_30_298,ValueError in C=C(CN)_C=Cc1cccc(C)c1_C=C(C(=O)NCC)_ethanol_30_298: Monomer contains more than one double bond.
C=C(C(=O)N(C)C)_C=Cc1cccc(C)c1_C=C(C(=O)NCC)_benzene_20_348,ValueError in C=C(C(=O)N(C)C)_C=Cc1cccc(C)c1_C=C(C(=O)NCC)_benzene_20_348: Monomer contains more than one double bond.
C=C(C(=O)OCCO)_C=C(CO)_methanol_20_280,ValueError in C=C(C(=O)OCCO)_C=C(CO)_methanol_20_280: Monomer contains more than one double bond.
C=C(C(=O)OCC)_C=C(CO)_C=CCl_n-butyl_alcohol_10_280,ValueError in C=C(C(=O)OCC)_C=C(CO)_C=CCl_n-butyl_alcohol_10_280: Monomer contains more than one double bond.
C=Cc1ccccc1_C=C(C(=O)OCCO)_C=C(C(=O)NCC)_toluene_5_298,ValueError in C=Cc1ccccc1_C=C(C(=O)OCCO)_C=C(C(=O)NCC)_toluene_5_298: Monomer contains more than one double bond.
C=C(C(=O)O)_C=Cc1cccc(C)c1_C=C(F)_m-xylene_5_280,ValueError in C=C(C(=O)O)_C=Cc1cccc(C)c1_C=C(F)_m-xylene_5_280: Monomer contains more than one double bond.
C=C(C(=O)OCC)_O=C1CCCCC1_C1CCOC1=O_ethanol_15_348,ValueError in C=C(C(=O)OCC)_O=C1CCCCC1_C1CCOC1=O_ethanol_15_348: Monomer contains more than one double bond.
C=C(C=O)_C=C(CO)_C=C(F)_water_30_298,ValueError in C=C(C=O)_C=C(CO)_C=C(F)_water_30_298: Monomer contains more than one double bond.
C=Cc1ccccc1_C=C(C(=O)OCC)_O=C1CN(CCO)CC1_chloroform_20_298,ValueError in C=Cc1ccccc1_C=C(C(=O)OCC)_O=C1CN(CCO)CC1_chloroform_20_298: Monomer contains more than one double bond.
CC=C_C=C(C(=O)NCC)_ethanol_5_298,ValueError in CC=C_C=C(C(=O)NCC)_ethanol_5_298: Monomer contains more than one double bond.
C=C(C(=O)OCC)_C1CCCC1C(=O)O_C=C(CO)_carbon_tetrachloride_30_348,ValueError in C=C(C(=O)OCC)_C1CCCC1C(=O)O_C=C(CO)_carbon_tetrachloride_30_348: Monomer contains more than one double bond.
